source_url,image_url
"https://m.media-amazon.com/images/I/91GMN74HkyS._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/91GMN74HkyS._SL1500_.jpg
"https://m.media-amazon.com/images/I/61yeuxTHLSL._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/61yeuxTHLSL._SL1120_.jpg
"https://images-eu.ssl-images-amazon.com/images/I/71wcVZYoFmL._AC_UL200_SR200,200_.jpg",
"https://m.media-amazon.com/images/I/91woOCSedES._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/91woOCSedES._SL1500_.jpg
"https://m.media-amazon.com/images/I/91OeL+4W-9S._UF350,350_QL50_.jpg",
"https://images-eu.ssl-images-amazon.com/images/I/71wcVZYoFmL._AC_UL200_SR200,200_.jpg",https://m.media-amazon.com/images/I/81fbZnrYyoS._SL1500_.jpg
"https://m.media-amazon.com/images/I/71Vm4mFih+L._UF350,350_QL50_.jpg",
"https://m.media-amazon.com/images/I/61vi13m2tvL._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/61vi13m2tvL._SL1120_.jpg
"https://m.media-amazon.com/images/I/71mvqJWhTKL._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/71mvqJWhTKL._SL1500_.jpg
"https://m.media-amazon.com/images/I/71Vm4mFih+L._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/71Vm4mFih+L._SL1500_.jpg
"https://m.media-amazon.com/images/I/71GVYzeOtYL._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/71GVYzeOtYL._SL1500_.jpg
"https://m.media-amazon.com/images/I/917nJWgAiBL._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/917nJWgAiBL._SL1500_.jpg
"https://m.media-amazon.com/images/I/81jNOXtgQWL._UF350,350_QL50_.jpg",https://m.media-amazon.com/images/I/81jNOXtgQWL._SL1500_.jpg
